configFile ./Integration/AlexaClientSDKConfig.json
Running app with log level: DEBUG9
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.460 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.461 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
